Emotion,Text
fear,So we moved to Haddenham for peace and quiet but now it starts here and we 're very frightened we shall be driven away from here because you can't live with that noise . 
fear,The idea of their having a say in the running of a club appears to make officials recoil with horror . 
fear,"Gascoigne is the first Englishman to fill the role since Bobby Charlton , a man whose absence from a team sheet spread dismay among team-mates and supporters alike . "
fear,When they threatened me with a knife to take my money.
fear,"Look me in my eyes, please don't be scared of me, I remember you, this feeling isn't you, so please don't be scared of me. "
fear,@IslamChat: You should have the of losing one's softness in the heart and its hardening.
fear,I confronted a bigger person than I and almost got into a fight.
fear,"A leader is a coach, not a judge.  #lean #systemsthinking #development #HR"
fear, But I've never jumped off anything in my life . The highest thing I've jumped off is my bed . I'm scared . 
fear,I had been watching a triller a dark night in the country and I had to go the outside toilet on my own. 
fear,"After seeing a terror movie at the cinema, I was so scared that I couldn't even drive the car into the garage. I often thought about the film afterwards, hoping such things couldn't exist in the \real world\""."""
fear,"She wrote : "" Thank you for your letter dated 9th October 1991 which I have read with great dismay . "
fear,When climbing up the stairs to the top of a ski-jumping hill.
fear,Eeee!!! I leave Friday morning for LA!!!! OMG!!!     
fear,I asked someone to bring some present to my father and found out that he is not a reliable person. I was afraid if my father would not get the presents he would be angry with me.
fear,"To the dismay of the South Africans , umpire Cumberbatch merely signalled a leg-side wide . "
fear,being single for the rest of my life and never being able to start a family to share my success and accomplishment with :(
fear,"He had taken an interest in the growing baby , and had become anxious about Jane 's health and safety , the way expectant fathers were supposed to . "
fear,"Perhaps it was something in the dowager-duchess 's voice that caused it , but Joan to her own dismay burst into tears . "
fear,One night I was lying in my bed awake but I had my eyes closed. I saw figures with terrible faces and black frocks bending over me and touching me. I opened my eyes but I could still see them. I had the feeling that somebody was in the room. It was terrible. Only when I turned on the light I was able to go to sleep.
fear,Left alone in the dining hall at night.
fear, Gosh ! I can see the flames ! 
fear,"Constant recounting of this tale embroidered it further , describing the woman 's horror as the head , missing the basket , gripped her apron and held on with its teeth ! "
fear,When I went to my first dental appointment.
fear,When I have to go in for an exam and the examinor is a person with a whimsical character and unsteady requirements.
fear,When I dreamed that I was being attacked by a friend.
fear,"When I left a carnaval ball at 4 o'clock a.m. I was alone in a foreign city and I had to go back home, when a guy appeared and tried to \catch me\""."""
fear,"Slowly , he corners the frightened younger boy , talks reassuringly as he kisses and caresses him . "
fear,The Spirit of causes disease.
fear,Niggas Tryna Live Off Im Tryna Live Off #Respect Cuz Without It Don't Nobody Give A Fuck About You R/S
fear,"I woke up in the middle of the night of a nightmare, I was alone, it was very quiet and very dark."
fear,When I am travelling by car and have to meet an oncoming car while overtaking.
fear,This last August when my parents dropped me off and moved me into college I didn't know anybody here; I was 17 and Berkeley really scared me.
fear,"Students fear many things but we seem to fear the examinations most of all. I remember I was horror stricken before my microbiology exam, because it was a decisive one."
fear,Staying alone in the biology building after the dark.
fear,"not afraid of tomorrow, for I have seen yesterday and I love today #less”"
fear,When thieves broke into my house at night and held my wife and me on gun-point for at least ten minutes and took away a lot of property.
fear,I was in a dark cellar and saw a glowing red point. I thought that it was a person with a cigarette - but it was only the red switch.
fear,"first, the (batman begins)....then, the #limits (dark knight).....im thinking like,  fucking....#redemption (dark knight rises)"
fear,I'm terribly nervous . 
fear,There is only one thing that makes a dream impossible to achieve: the of #failure. Basically I'm saying focus on getting ur mind right
fear,"I was in about Grade 7, I came home from school one day and was told that my mother had skin cancer and would have to go to the hospital straight away."
fear,Somehow I've got to get to trend. That way I can have another way to spread fear across the world without needing an inhaler.
fear,I'm so scared! Is this really how life forces certain circumstances on people? It's so hard. #confused #faith
fear," said he wants to live in u, but  he saw fear in your house occupying your space and u wouldn't invite him in ro get rid of "
fear,You know i spend money cause spending time is hopeless 
fear,I was scared when I realized that I might miss the train which I was supposed to take.  I was 1500 Kilometres away from home and when  I heard the depart whistle I was still 150 feet away from the train.  I finally made it.
fear,"Sometime back, my boyfriend and I were having a walk nearby my parent's house. Suddenly we met my grandfather and I was afraid that he would report to my parents."
joy," Oh yes , I loved it . Wasn't the scene with the judge great ? "
joy,"Mention of the press 's glee at the humiliation of the investigators behind this summer 's high-profile surveillance project Operation Blackbird , who were fooled by an obvious hoax , brings out Tarr 's own nascent conspiracy theory . "
joy, OK . Do you want us to bring something ? 
joy, Thank you.But does it really look all right ? 
joy," Great ! Warm up with some scales and arpeggios first . Good , good . This week , work on keeping the rhythm steady when you play the last part with the sixteenth note . Now let ’ s take a look at this "
joy,"Perhaps he was just imagining the undercurrent of nostalgia , he told himself as he looked at Beth 's flushed , excited face . "
joy,Their cheerfulness and delight at still being alive only made Charlie feel more guilty . 
joy,"Right before I went to a concert with my last boyfriend he told me that although he told me he was going to take me to the concert, he didn't want to see me anymore. After that we stayed overnight and I said \well, when he leaves me I will be ruined for awhile, but for now we're together.\"" I woke up in his arms and it was the happiest moment of my life."""
joy, In college . But I don't dance very often . What's your favourite dance ? 
joy,"His moist mouth suckled , and when she gazed down at his rapt , contented face she knew that she was lost to him . "
joy,"The tranquility of the night , the chirping of some insects , everything is so natural ! "
joy, I admire plum blossoms very much . It seems that only it can blossom in the cold winter . 
joy,I won the country ski championship.
joy,The period when I was pregnant and when I gave birth to my son. I can say those were the happiest months in my life.
joy, Great . I just got back from a week's vacation in Thailand . 
joy,"I was particularly pleased at the emphasis on investment in education and training , in science research and development and the commitments he gave on transport and health and community care . "
joy,When my girl and I decided to get back together after our separation.
joy,I passed an exam which I was not sure at all to pass.  I rejoyced at the result because the possibility of continuing my studies depended on it.
joy,Passed an exam by 2 points.
joy, We'd like to . Can you tell me when we go ? 
joy, Good idea . Thanks a billion . 
joy,Don't be shy . Have some more chicken . 
joy,Don't worry . I'm sure you'll do better next time . 
joy,At my sister's wedding.
joy," So , can I buy some new shoes as a Christmas present ? "
joy,"` Katherine , I haven t yet told you how pleased we all are that you shall be going to school here and be with us at Valois frequently . "
joy,When I was accepted at university.
joy,When I passed my MSCE Exams and was selected to go to college.
joy,When I met a very close friend of mine after one year of separation.
joy,The performance is amazing . I'm curious about how they did it . I mean the way they sing . 
joy, Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
joy, I'd like to come back next weekend . 
joy," Yes . I have . I liked it very much . Like you , I was very impressed with Rachel ’ s performance in the movie . She ’ s going to be a star . "
joy, That ’ s all right . Thank you all the same . 
joy,"When I realised that I was forgiven by the God who is there, when I realised how much God loves me and that my acceptance with him is not based on my performance - that he loves me unconditionally and showed that love in Christ who died because I do need forgiveness."
joy,Morrissey was ecstatic at the response . 
joy,"I won a car in a prize-competition. The moment I was informed about it, I felt joy."
joy,The high school entrance exam.
joy,"Merry Christmas , Linda ! "
joy,When I passed the university entrance exam.  I had thus finished with a difficult period of my life and I was about to begin one which I had desired a lot.
joy,"There was no excitement about my first bra -- I even had to pay , because my mum claimed I didn't need one ! "
joy,When I was accepted for a course on finance and accounting.
joy,I received a letter and a Christmas present from a person I had not seen for two years.
joy,The joy came to me when I heard that I was going to start a Medical course at the London School for Health Sciences.
joy,"There was amusement in Jake 's voice , but there was something else as well . "
joy,Saw in TV that China had the most gold medals in the Asian Olympic.
joy, Really ? How was it ? 
joy,"When I was offered a high position of trust, which I later accepted."
joy,Passing my pharmacy exams which meant my tertiary education for pharmacy completed.
joy,When I first passed a job interview.
joy," Did she ? That ’ s great . However , if we have too many children , that will have a bad effect on the enviroment . "
joy,"My girlfriend wrote to me telling me that she was four months pregnant and that I was responsible for the \damages\"".  This made me happy as I longed to have a child to call mine."""
joy,"I had problems with tutors trying to encourage me to diversity my work and experiment with other styles , but I was quite happy with the direction my work was heading so I stubbornly stuck to it . "
joy,She signed on for four years after talks with Highbury boss George Graham and said : ` I 'm delighted it 's all gone through so smoothly . 
joy," To some extent , he is . And what do you think we move to a better place ? I can't see him clearly from here . "
joy,"Clive also attended , visibly gleeful that he had spared the school any undesirable publicity by unloading me in the nick of time . "
joy, It's sounds like fun . 
joy,On holidays - just driving along a road beautiful scenery. Just with my boyfriend - not really talking but just feeling overwhelmed.
joy, That's a good idea . I hear Mary and Sally often go there to play pingpong . Perhaps we can make a foursome with them . 
joy,I was very happy when I passed and went to form I.  It was a great relief for me as I had been very worried considering the large number of pupils who fail.
joy, Congratulations ! That ’ s wonderful . I bet both of you are quite happy . 
joy,Falling in love.
joy,"I 'm very pleased with how we 've reacted to our bad start to the season . "" "
joy,"I was given a dummy in which to do my preliminary sketches , but the dummy was designed so beautifully by Amelia Edwards that I was really happy with my work . "
joy,I wouldn't say she gives me an ecstatic welcome . 
joy, I don't feel bored at all . I'm getting along with my colleagues . I will enjoy working with them . People are great in this industry . 
joy,After intercourse.
joy,My old friend visited me in the university.
joy, Check out what happens when I put on the brakes suddenly . It can stop quickly . 
joy, Yes . When ? 
joy," Great , is it a two bedroom house ? "
joy, OK . Bye ! 
joy, How about a party at home ? That way we can get together and celebrate it . 
joy,"The note of anger carried to the groups and couples passing by , provoking amusement and raised eyebrows . "
joy, I have been looking forward to her visit for weeks and was very excited when I met her .  
joy, And it ’ s a bargaining . A house like this in river side costs double the price . 
joy,Would you like to stretch your legs ? 
joy, The singing group used to be very popular . 
joy,Good luck on your test tomorrow . We'll be crossing our fingers for you ! 
joy,"Julia 's questions about the line the defence lawyers were taking were as acute as anything she had ever asked David , and they filled him with relieved delight . "
joy, Yes . to our first anniversary and many more to come . Cheers ! 
joy,When I got the positive result of my examination to achieve the Bachelor Degree in Plychology.
joy,"When I found out that the girl, with whom I was in love, loved me too."
joy,Manufacturers could play on the excitement of a commentary to sell their sets . 
joy,When my child was born.
joy,` Your mother and I are so pleased you are so happy . 
joy,In March they were received as World Champions by an ecstatic crowd after winning the Cricket World Cup for the first time . 
joy,"He himself was thrilled , but his pleasure was diminished as he imagined Ken 's pallid , bandaged head shadowed on the screen . "
joy,All around there was the electric atmosphere of first night excitement . 
joy, So cool . Someone gave me this flier at the exit . What's it about ? 
joy,When my love for a guy was returned.
joy,Helping in the nursery school.
joy,"Delighted with their silver medals for reaching the final against the world champions , England saw the match open with an expected win by the world champion Jorgen Person over English champion Chen Xinhua 21-8 , 21-18 . "
joy,"Winning a tight tennis match. One set to play, and the team was behind by 3 games. We won the last set 6-2 and won the match by a game."
joy," Oh , that's great . I want to try later . "
joy," Gucci , I have an idea . Do you want to see this movie together ? "
joy,When I was told that I could take a week off and go for a trip with my friends.
joy,"When I saw my brother in Church, and publically accept Jesus Christ as his saviour and Lord."
joy,When I won a tennis match.
joy,"During the day her mother seemed happy at times , baking , trying out fresh recipes , or changing yet again the curtains , or crocheting new chair-backs . "
neutral," Yeah , and ? "
neutral, Look at the view from the window . 
neutral, Why are you choosing to leave a foreign country ? Many people are reluctant to leave the superior living environment abroad . 
neutral," The food was excellent , but Jane ordered a birthday cake , which they forgot about . So as you can see , you were not the only one . "
neutral,Hello ? 
neutral,Are you OK ? 
neutral, I heard it . 
neutral,How are you ? 
neutral, that ’ s amazing . Do you have a large extended family ? 
neutral,"Hello , Pam . "
neutral," It'll be close , but we'll make it . "
neutral, Yes . 
neutral, And you often go back to live with your parents and leave our son in the room by himself . 
neutral," Great , Is it convenient if i visit you this weekend ? "
neutral," No , what ? "
neutral, The Giants ? 
neutral,Can you do push-ups ? 
neutral, I'm sorry . 
neutral, I do wish I could afford one . 
neutral, She's my grandma . 
neutral, Too bad . 
neutral, I guess so . 
neutral," News about current affairs , documentaries , music , movies , noncommercial ads and so on . "
neutral, Why ? 
neutral, like what ? 
neutral, Hi Vicky . 
neutral," I tell ya , when I got the invite , it really threw me for a loop . You've done a complete 180 . "
neutral, You are funny ! 
neutral, Sort of . I played golf on my computer ! 
neutral,Oh ! 
neutral, Where ? 
neutral, No ... 
neutral,"Hey , Ted . What are you up to this Friday ? "
neutral, Jack ? 
neutral, that ’ s interesting . What does your grandfather think of your step-mother ? 
neutral, Twenty . 
neutral, men ! 
neutral, What's it ? 
neutral, All right . 
neutral, You can count on it . 
neutral, It's a portable TV . It's a popular thing now . 
neutral, Why not ? 
neutral, I got it . 
neutral,"Do you have any particular hobbies , Tom ? "
neutral, No . Why ? 
neutral, I agree ... 
neutral, Why not ? 
neutral,What do you make of the case ? 
neutral," nothing else has happened to me , but I have seen quite a few fights on the streets after the bars close . "
neutral, To me English is a difficult language . 
neutral, You look like a cooking show host--only messier . 
neutral, For what ? 
neutral,"Hi Rose , what are you busy with right now ? "
neutral, Yes . I'm fond of playing the chess and I'm very keen on playing cards . 
neutral,Could I see the manager please ? I have a complaint to make . 
neutral, Thank you . 
neutral," True , but English is harder than most . It's a crazy language . "
neutral, Du Kun . 
neutral, I see . 
neutral, Go ahead . 
neutral, OK . 
neutral," Not much , except that my mother-in-law is driving me up the wall . "
neutral, Bye . 
neutral, Eighteen . 
neutral, 15 people . 
neutral, Was it ? 
neutral, One month . 
neutral, I hear many teenagers will spend hours and hours sitting at computers . And they don't care about their own health at all . How about you ? 
neutral, Bob . 
neutral, She's 42 . 
neutral, he is a nice guy and very considerate . I was impressed with how smart he was and he has a great sense of humor . 
neutral, John . 
neutral, I don't like the way they sag down . I feel like I have plumber butt in them . 
neutral, why not ? 
neutral, Absolutely . 
neutral, I see . 
neutral, for what ? 
neutral, Ok . 
neutral, You bet it . 
neutral, How do you know it's going to be so fun ? 
neutral,The music is on.May I have the pleasure to dance with you ? 
neutral, Calm down ! 
neutral, Why ? 
neutral, Why ? 
neutral,Are you all right ? 
neutral, Depends . 
neutral, Why don ’ t you find the information on the internet instead ? 
neutral, What is it ? 
neutral, Totally not . Perhaps it's about our marriage . 
neutral, Excuse me ? 
neutral," I've tried , but I can't stand the bald man talking so loudly in the program . "
neutral," Yes , he is . He loves the girl very much . "
neutral, Take care . 
neutral, Speaking . 
neutral, I think so . 
neutral, Isn't there any coach to teach you how to ski ? 
neutral," that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . "
neutral, What is it ? 
neutral, And ? 
neutral, Yes . 
sadness,He remembers the anguish of disapproval and the comforting security of guardians . 
sadness, I couldn't . I was bound and gagged . 
sadness, I went to the library and lost my bag . 
sadness,"Vincent agreed , too low-spirited to put up any resistance . "
sadness, That's terrible . 
sadness, My condolences . 
sadness,"The breaking up of a relationship.  We decided that the relationship could not carry on, so it was no surprise to me. And anyhow, I had known it would happen sooner or later."
sadness, Let me see ... I am sorry the tables you want are booked . 
sadness,"One of my class-mates had a disease unexpectedly, he had been in a coma for six days in a hospital before he died."
sadness,"And I know that 's miserable for you , but what else can you do ? "" "
sadness,Leaving high school.
sadness,"In my penultimate job I was responsible of a sections with several employers, after several years of dedication I was dismissed by a new chef, saying that I was incompetent."
sadness,When my mother left for Kenya.
sadness, I am sorry for that . We will improve the dishes next time . 
sadness,A close friend died.
sadness,When I found that my coldness had hurt somebody's sincerity.
sadness,"Privately , Juliet was feeling rather despondent . "
sadness,I'm afraid I have to return this sweater . 
sadness,"Country folklore has it that dobies were actually the sad little GHOSTS of unwanted or plain women , who would fumble around the house trying to be useful until their spirits had been exorcised . "
sadness,The family are not downhearted ; they have made many people across the country aware of the Trust and their work . 
sadness,"I am always sad when my boyfriend goes away. He lives and studies in an other city. We have gone steady for 2 and 1/2 years and everything is going very well, but sometime this situation makes me feel bad and very lonely."
sadness,When my grandmother after staying with us for awhile went back home.
sadness, I fell down and hurt my arm . 
sadness, I'm sorry . I can't . What does the note say . 
sadness, I didn't sleep a wink last night . 
sadness,"When we decided, my boyfriend and I, that we would separate, I realized that he would have wanted to continue our relationship and the coming separation hurt him."
sadness," I ’ Ve tried it , not a chance . "
sadness,"The saddest I've ever been was when my lover was killed, hitch-hiking to work."
sadness,My cat died painfully and slowly.
sadness, You know that my father is irritable . 
sadness,A dejected Allen added : ` You can't give John Aldridge chances like that -- he is a quality finisher . 
sadness,Nicky looked crestfallen but did not dare argue with Constance when she was in this mood . 
sadness, Silly me . 
sadness,I feel sad when I see things done against men and nothing could stop it - at least I think so.
sadness,When a close friend of mine collapsed and passed away and the illness was not known.
sadness,I experienced this emotion when my friend committed suicide after we had spent the afternoon playing and discussing life and it's problems.
sadness," Well , my mum lost her job yesterday . "
sadness," Well , you always say you're busy . "
sadness,"The elections of 1982 and 1985.  The thought of what a social democrat and communist majority could achieve, especially \worker share\"" funds and its extension."""
sadness,The death of my mother-in-law after a long sick-bed. at the moment of dying I was with her.
sadness, Ohhhh ! 
sadness,"As she poured coffee for Jenny and Paul , she felt unbearably sad . "
sadness,My friend was badly hurt.
sadness,Amanda 's grief for her father was compounded by anxiety over his ontological status . 
sadness,"Being bored in school, not being able to marry and have children."
sadness,To say goodbye to dear friends after the holidays.
sadness, I messed up . 
sadness,So many families will face the heartbreak of burglary before Christmas . 
sadness,When my ex-girlfriend and I discovered that there was a certain risk of her being pregnant.
sadness,"She looked desperately tired , but there were no obvious marks of grief on her face . "
